date,fixture_id,match,marché,pari,cote,bookmaker,p_modèle_%,p_marché_%,p_finale_%,edge_%,ev_%,mise_%,résultat,gain_unités,clv
2026-08-29,1570357,Levante vs Real Betis,1X2,1,3.35,Pinnacle,39.2,28.9,32.5,3.6,8.9,0.95,,,
2026-08-29,1552745,Strasbourg vs Lens,1X2,1,4.04,1xBet,41.4,24.3,30.3,6.0,22.3,1.72,,,
2026-08-30,1557379,Chelsea vs Brighton,O/U 2.5,Under,2.35,Superbet,49.4,41.0,43.9,2.9,3.2,0.6,,,
2026-08-30,1557382,Leeds vs Brentford,1X2,1,2.75,10Bet,45.3,36.5,39.6,3.1,8.9,1.27,,,
2026-08-30,1557385,Sunderland vs Fulham,1X2,1,4.33,10Bet,45.3,38.9,41.2,2.3,78.2,2.0,,,
2026-08-30,1575145,SC Freiburg vs Werder Bremen,1X2,2,4.38,Pinnacle,28.6,21.6,24.1,2.5,5.5,0.4,,,
2026-08-30,1570360,Real Madrid vs Malaga,1X2,2,31.0,Betfair,20.6,2.7,9.0,6.3,178.3,1.49,,,
2026-08-30,1570360,Real Madrid vs Malaga,O/U 2.5,Under,4.0,Bet365,47.1,25.0,32.8,7.7,31.1,2.0,,,
2026-08-31,1550103,Lecce vs AS Roma,1X2,1,8.0,10Bet,41.2,11.8,22.1,10.3,76.8,2.0,,,
2026-08-31,1570358,Osasuna vs Getafe,O/U 2.5,Over,3.2,Bet365,42.4,28.3,33.3,4.9,6.4,0.73,,,
2026-08-31,1557377,Aston Villa vs Arsenal,1X2,1,6.8,Betano,45.3,15.0,25.6,10.6,74.2,2.0,,,
2026-08-31,1570354,Barcelona vs Rayo Vallecano,1X2,2,26.0,Marathonbet,23.6,3.1,10.3,7.2,166.7,1.67,,,
2026-08-31,1570354,Barcelona vs Rayo Vallecano,O/U 2.5,Under,4.5,BetVictor,52.2,27.5,36.1,8.7,62.6,1.6,,,
2026-09-03,1552754,Toulouse vs Lille,1X2,1,4.02,Pinnacle,30.6,23.8,26.1,2.4,5.1,0.42,,,
2026-09-03,1570392,Real Sociedad vs Celta Vigo,O/U 2.5,Under,1.99,Pinnacle,57.6,48.8,51.9,3.1,3.2,0.82,,,
